0 [1.0, 1.0, 1.0]
600 [0.39217028, 1.1830026, 0.42840353]
1200 [0.23608142, 1.5092897, 0.24782087]
1800 [0.36177242, 2.0981278, 0.1647255]
2400 [0.40495366, 2.7929487, 0.13464566]
3000 [0.43005297, 3.475154, 0.12627465]
3600 [0.45814726, 4.1438174, 0.123499915]
4200 [0.4892199, 4.8002343, 0.12040965]
4800 [0.5147003, 5.4510307, 0.11575387]
5400 [0.5387662, 6.099613, 0.10938055]
6000 [0.5654305, 6.7479415, 0.106306605]
6600 [0.5958185, 7.3978868, 0.1082622]
7200 [0.6321252, 8.054837, 0.11726273]
7800 [0.674986, 8.730108, 0.13596115]
8400 [0.79875696, 9.506608, 0.4185834]
9000 [2.1834748, 10.591393, 1.6028736]
9600 [3.132382, 11.2789, 2.1189778]
10200 [3.8932774, 11.832996, 2.4555871]
10800 [4.5200114, 12.313572, 2.6609962]
11400 [5.073866, 12.745223, 2.7580004]
12000 [5.5653853, 13.145599, 2.7838032]
12600 [6.010704, 13.52094, 2.7756317]
13200 [6.4297595, 13.865627, 2.7502978]
13800 [6.827157, 14.172399, 2.7223513]
14400 [7.221469, 14.429808, 2.7000694]
15000 [7.6337786, 14.619338, 2.6776428]
15600 [8.020772, 14.75047, 2.6683447]
16200 [8.368605, 14.829922, 2.6683815]
16800 [8.68096, 14.870094, 2.674598]
17400 [8.949536, 14.887761, 2.6775968]
18000 [9.187188, 14.897906, 2.6809418]
18600 [9.379354, 14.904954, 2.6799588]
19200 [9.519791, 14.914302, 2.6777189]
19800 [9.616894, 14.925404, 2.6728354]
